file;bytes;lines;sha256;coverage
backend/test_api_keys.py;7045;146;17bc5c55e88c688dfd7587152fcf81faea3bf35b33fae1ddee34f7668118f637;"Inventário textual; ver mapa de revisão"
backend/test_ddg_only.py;571;18;23fed1dfb0d6a536d8bcd1a499d13df0eddffc3f3d74dad97f45e6d7a0918d7e;"Inventário textual; ver mapa de revisão"
backend/test_ddg_raw.py;1129;31;a6c61b37eea0f8589e580bfc913eddcfd5ce4647d178dcb22b7123e204486cec;"Inventário textual; ver mapa de revisão"
backend/test_mojeek.py;1886;47;eee8aee3c61df97bb47995e8a0270fcfb2a390488a0d63620b030a1cc49ae0eb;"Inventário textual; ver mapa de revisão"
backend/test_scraper.py;1605;50;07b11283db3c4f5758d1871b1c04558bd3cebb202ac6744b53b940fa8180b63a;"Inventário textual; ver mapa de revisão"
criar_pacote_zip.bat;714;15;243f45c8780a23aaf4a169807be52c114f5078c8718a7c037a8647a49d3ead6b;"Inventário textual; ver mapa de revisão"
ddg_error.html;14399;176;c57c9dbc94656842d1efb8396d8413d7fbd3fda18ab7ba673c7d544c5ac08127;"Inventário textual; ver mapa de revisão"
ios/JWSearch/ContentView.swift;16433;360;93d725c6a4b45f98ffd2db99d6c1778087b3fd1e5677ec15f1b2500dda596679;"Inventário textual; ver mapa de revisão"
ios/JWSearch/Info.plist;1285;41;fbbd5b8dff4704e075b3850a9b8b6d7ea373ae4edec00a63fb8ffd9e5900d49e;"Inventário textual; ver mapa de revisão"
ios/JWSearch/JWSearchApp.swift;154;10;8f483b27f20343856cf2dbb4376c2c7dc9ccd4d366a02212324e57d6bcbebad1;"Inventário textual; ver mapa de revisão"
ios/JWSearch/SearchClient.swift;11253;231;d5fb5006ceca5bbb41988735d00fc5be9eafc5f7d7058002c2eed8392deae0c2;"Inventário textual; ver mapa de revisão"
render.yaml;232;9;17dd04e0b1312fb37cf79e7cdb3bcfe77018da2d6c686f7da3a04498c7110f97;"Inventário textual; ver mapa de revisão"
start.bat;2261;68;563f55cef015252d5bd0662ba7c4317e6d12b4a6171d3df0829efd0bb07a5e02;"Inventário textual; ver mapa de revisão"
web/app.js;79163;1603;0f9991d14631d6f403b71443ee749fe6730ba4175cd28114e509215943b99c28;"Inventário textual; ver mapa de revisão"
web/favicon.ico;9367;;4cc1b8bcdca27d6dd256a5c4a2ad2601b8382ad55c70b06c1199745131710455;"Binário inventariado; conteúdo não auditado"
web/favicon.png;3321;;e323d009a345aa3880571d4c5f45b012ccd36732265dcb4fcf8074e69e8a220b;"Binário inventariado; conteúdo não auditado"
web/icons/apple-touch-icon.png;9333;;f23a082c41150c296050803712243625161875c18ec0c43b6602cb4ff0da87fd;"Binário inventariado; conteúdo não auditado"
web/icons/icon-192.png;10378;;f7b244563c1afcb267727125f305be8f33c9f4f9c9d5416dc0bfac3386f0966f;"Binário inventariado; conteúdo não auditado"
web/icons/icon-512.png;26612;;f3559433f9a1c1ea870461d24dc4cf3091800871457aaa60233559a2794174dd;"Binário inventariado; conteúdo não auditado"
web/index.html;46541;665;fb8753f0e2ac98487f58b3bcd805acc2d7a8a93ff7900dc6e019e4c576a2d588;"Inventário textual; ver mapa de revisão"
web/manifest.json;630;26;4521a04057cfca198e5ee80fc827edb28c61dea3d2230495370d60d3a5e6d570;"Inventário textual; ver mapa de revisão"
web/service-worker.js;1443;59;63455c42560afd40c32cf292d994dffadabf92b8d4b5d3bf38cee5243f74d3ea;"Inventário textual; ver mapa de revisão"
